Insight,Date,Value,Unit
Average,2009-09-01,57,°F
Low,2009-09-01,41,°F
High,2009-09-01,70,°F
High,2009-10-01,79,°F
Average,2009-10-01,56,°F
Low,2009-10-01,37,°F
High,2009-11-01,70,°F
Average,2009-11-01,57,°F
Low,2009-11-01,37,°F
Average,2009-12-01,56,°F
Low,2009-12-01,34,°F
High,2009-12-01,75,°F
Average,2010-01-01,56,°F
Low,2010-01-01,30,°F
High,2010-01-01,84,°F
Average,2010-02-01,58,°F
Low,2010-02-01,41,°F
High,2010-02-01,73,°F
Average,2010-03-01,59,°F
Low,2010-03-01,34,°F
High,2010-03-01,72,°F
High,2010-04-01,72,°F
Low,2010-04-01,43,°F
Average,2010-04-01,58,°F
Low,2010-05-01,46,°F
High,2010-05-01,86,°F
Average,2010-05-01,59,°F
Average,2010-06-01,57,°F
Low,2010-06-01,41,°F
High,2010-06-01,81,°F
Average,2010-07-01,56,°F
Low,2010-07-01,43,°F
High,2010-07-01,73,°F
Average,2010-08-01,56,°F
Low,2010-08-01,45,°F
High,2010-08-01,70,°F
Average,2010-09-01,56,°F
Low,2010-09-01,41,°F
High,2010-09-01,68,°F
High,2010-10-01,72,°F
Average,2010-10-01,56,°F
Low,2010-10-01,45,°F
Low,2010-11-01,46,°F
High,2010-11-01,82,°F
Average,2010-11-01,56,°F
Average,2010-12-01,56,°F
Low,2010-12-01,43,°F
High,2010-12-01,75,°F
Average,2011-01-01,56,°F
High,2011-01-01,77,°F
Low,2011-01-01,39,°F
Average,2011-02-01,56,°F
Low,2011-02-01,39,°F
High,2011-02-01,70,°F
Average,2011-03-01,56,°F
Low,2011-03-01,41,°F
High,2011-03-01,82,°F
High,2011-04-01,70,°F
Low,2011-04-01,45,°F
Average,2011-04-01,57,°F
Average,2011-05-01,58,°F
Low,2011-05-01,36,°F
High,2011-05-01,73,°F
Average,2011-06-01,58,°F
Low,2011-06-01,46,°F
High,2011-06-01,70,°F
High,2011-07-01,79,°F
Average,2011-07-01,57,°F
Low,2011-07-01,43,°F
Average,2011-08-01,57,°F
Low,2011-08-01,45,°F
High,2011-08-01,84,°F
Average,2011-09-01,56,°F
Low,2011-09-01,41,°F
High,2011-09-01,70,°F
High,2011-10-01,68,°F
Low,2011-10-01,41,°F
Average,2011-10-01,56,°F
High,2011-11-01,81,°F
Average,2011-11-01,57,°F
Low,2011-11-01,41,°F
High,2011-12-01,77,°F
Average,2011-12-01,57,°F
Low,2011-12-01,45,°F
Average,2012-01-01,57,°F
Low,2012-01-01,39,°F
High,2012-01-01,72,°F
Average,2012-02-01,55,°F
Low,2012-02-01,39,°F
High,2012-02-01,72,°F
Average,2012-03-01,57,°F
Low,2012-03-01,45,°F
High,2012-03-01,68,°F
Average,2012-04-01,56,°F
Low,2012-04-01,34,°F
High,2012-04-01,68,°F
High,2012-05-01,68,°F
Average,2012-05-01,57,°F
